gov_id|english_name|chinese_name,address|district|latitude|longitude|email|telephone|fax|placement_type|valid_license_since
2253|Tip Top Recruitment Agency||Room 2101E, 21st floor, Wing Tuck Commercial Centre, 177-183 Wing Lok Street, Sheung Wan, Hong Kong|Central and Western District|lat: 22.2868558|lng: 114.1491142|tiptoprecruitment@gmail.com|34688097|34687976|Foreign Domestic Helpers, Local Domestic Helpers|2017
2258|SINCERE COMPANY|忠誠菲泰傭公司|Room 1231, 12th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories|Tsuen Wan District|lat: 22.3738014|lng: 114.1163447|service@sia-sincere.com.hk|23313111|37475225|Foreign Domestic Helpers, Local Domestic Helpers|2017
2260|SINCERE COMPANY|忠誠菲泰傭公司|Room 606, 6th floor, Progress Commercial Building, 9 Irving Street, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2787892|lng: 114.1865025|service@sia-sincere.com.hk|21159923|35851785|Foreign Domestic Helpers, Local Domestic Helpers|2017
2261|SINCERE COMPANY|忠誠菲泰傭公司|Shop A58, Level 2, Tai Po Plaza, 1 On Tai Road, Tai Po, New Territories|Tai Po District|lat: 22.4529090|lng: 114.1704450|service@sia-sincere.com.hk|21159923|35851785|Foreign Domestic Helpers, Local Domestic Helpers|2017
2269|DILIGENT EMPLOYMENT|啱心水僱傭|Shop 253, Basement, Maxibase, Maximall, 233 Electric Road, North Point, Hong Kong|Eastern District|lat: 22.2909415|lng: 114.1948282|leungkayankaren@yahoo.com.hk|36124538|26758600|Foreign Domestic Helpers, Local Domestic Helpers|2017
2270|Asia Pacific Properties Mobility Limited||14th floor, Wilson House, 19-27 Wyndham Street, Central, Hong Kong|Central and Western District|lat: 22.2803967|lng: 114.1558026|info@appmobility.com|22817800|28106981|Foreign Domestic Helpers, Imported Worker, Office Staff / Executive Search|2017
2271|Guru Employment Services Centre|達人僱傭服務中心|Room 708, 7th floor, Hollywood Plaza, 610 Nathan Road, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3169020|lng: 114.1702141|guruemployment.fax@gmail.com|35680810|83431540|Foreign Domestic Helpers|2017
2281|Limastar Employment Agency Limited|金傭菲印服務有限公司|Shop 10, Ground floor, Valiant Court, 5 Peace Avenue, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3077410|lng: 114.1676920|limastaragency@gmail.com|23851166| |Foreign Domestic Helpers|2017
2285|WINSOME EMPLOYMENT LIMITED|慧心僱傭有限公司|Room 5D, Ground floor, The Ninth Street, Tai Wai Village, Sha Tin, New Territories|Sha Tin District|lat: 22.3759410|lng: 114.1786260|winsomeemployment@gmail.com|37021238|37021234|Foreign Domestic Helpers|2017
2287|MING YIP CONSULTANT|明業顧問|Shop 14A, Level 2, Waldorf Shopping Centre, 1 Tuen Lee Street, Tuen Mun, New Territories|Tuen Mun District|lat: 22.3918320|lng: 113.9779290|mingyip8088@gmail.com|26080939|26082991|Foreign Domestic Helpers|2017
2290|CASA DH SERVICES||Unit A3, 11th floor, Block A, Mai Hing Industrial Building, 16-18 Hing Yip Street, Kwun Tong, Kowloon|Kwun Tong District|lat: 22.3088856|lng: 114.2251740|msilva@cartergroup.com.hk|25206333|25206810|Foreign Domestic Helpers, Local Domestic Helpers|2017
2303|Trontastic Employment Agency Limited|創達誠僱傭有限公司|Room P1, 10th floor, Kaiser Estate Phase 3, 11 Hok Yuen Street, Hung Hom, Kowloon|Kowloon City District|lat: 22.3101994|lng: 114.1889872|trontastichk@gmail.com|36221893| |Foreign Domestic Helpers, Local Domestic Helpers|2017
2305|HEARTFELT CARE EMPLOYMENT AGENCY|知心僱傭中心|Room 12E, 20th floor, Witty Commercial Building, 1A-1L Tung Choi Street, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3163037|lng: 114.1710135|ireneyiuhc@yahoo.com.hk|62174961|23328623|Foreign Domestic Helpers, Local Domestic Helpers|2017
2316|PEACEFUL COMPANY|安逸公司|Unit 283, 1st floor, One Terminal, Wah Lok Mansion, 2 Tsing Shan Square, Tuen Mun, New Territories|Tuen Mun District|lat: 22.3888703|lng: 113.9794220|susy_tsw@yahoo.com|67315667| |Foreign Domestic Helpers|2018
2320|HKBS||Flat 1, 5th floor, Cammer Commercial Building, 30-32 Cameron Road, Tsim Sha Tsui, Kowloon|Yau Tsim Mong District|lat: 22.2989440|lng: 114.1745201|info@hongkong-bs.com|25298288|23664299|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2017
2321|e-Job||Flat 1, 5th floor, Cammer Commercial Building, 30-32 Cameron Road, Tsim Sha Tsui, Kowloon|Yau Tsim Mong District|lat: 22.2989440|lng: 114.1745201|contact@e-job.hk|25063118|23664299|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2017
2330|HELPER DIRECT|僱傭通|Room A, 16th floor, Chung Hing Commercial Building, 62 Connaught Road Central, Central, Hong Kong|Central and Western District|lat: 22.2853530|lng: 114.1556168| |65248700| |Foreign Domestic Helpers, Local Domestic Helpers, Office Staff / Executive Search|2017
2331|Yat Li Employment Centre|溢利僱傭中心|Shop F056, 1st floor, New City of Full Yau Court, 51G Yau San Street, Yuen Long, New Territories|Yuen Long District|lat: 22.4425856|lng: 114.0288751| |95076641| |Foreign Domestic Helpers|2017
2332|Aberdeen Overseas Employment Agency Limited|香港仔海外僱傭中心有限公司|2nd floor, 724 Sun Fung Wai, Tuen Mun, New Territories|Tuen Mun District|lat: 22.3917136|lng: 113.9767864|aoeagency@gmail.com|25243338| |Foreign Domestic Helpers, Local Domestic Helpers|2017
2358|EAST STAR RECRUITMENT||Unit 2, 6th floor, McDonald's Building, 46-54 Yee Wo Street, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2795382|lng: 114.1858988|emilybaby1115@gmail.com|21807023|21807505|Foreign Domestic Helpers, Local Domestic Helpers|2017
2370|ASIA WISDOM EMPLOYMENT SERVICE|景盛僱傭服務|Flat 703A, 7th floor, Liven House, 61-63 King Yip Street, Kwun Tong, Kowloon|Kwun Tong District|lat: 22.3091351|lng: 114.2263721|asiawise3@yahoo.com.hk|93097832| |Foreign Domestic Helpers, Local Domestic Helpers|2017
2377|GOLDEN JOY EMPLOYMENT AGENCY LIMITED|高怡僱傭有限公司|Shop A1, Ground floor, Po Hong Building, 35 Po Heung Street, Tai Po, New Territories|Tai Po District|lat: 22.3964280|lng: 114.1094970|kat728728@gmail.com|61567020| |Foreign Domestic Helpers|2017
2385|Emma Maids Employment Centre|依瑪僱傭中心|Room C, 11th floor, Golden Hill Commercial Building, 39-41 Argyle Street, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3194204|lng: 114.1685287|emmachung20@gmail.com|62263315|23903038|Foreign Domestic Helpers|2017
2387|SAINT KAI EMPLOYMENT SERVICE|盛佳女傭中心|Shop 95, Basement, Manly Plaza, 995-997 King's Road, Quarry Bay, Hong Kong|Eastern District|lat: 22.3964280|lng: 114.1094970|saintkai.agency@yahoo.com|28198266|28198277|Foreign Domestic Helpers, Local Domestic Helpers|2017
2403|Big Big Employment Agency|碧碧女傭|Unit 1222, 12th floor, Nan Fung Centre, 298 Castle Peak Road, Tsuen Wan, New Territories|Tsuen Wan District|lat: 22.3738014|lng: 114.1163447| | | |Foreign Domestic Helpers|2017
2419|LIFIVE DOMESTIC EMPLOYMENT|利盈豐中介|Flat F, 5th floor, Block 4, Golden Dragon Industrial Centre, 182-190 Tai Lin Pai Road, Kwai Chung, New Territories|Kwai Tsing District|lat: 22.3578236|lng: 114.1313943|a1benawong@gmail.com|66411477|24805782|Foreign Domestic Helpers|2017
2422|Trustable Employment Agency|信得過僱傭中心|Unit 11, 3rd floor, Trend Centre, 29-31 Cheung Lee Street, Chai Wan, Hong Kong|Eastern District|lat: 22.2653636|lng: 114.2352883|trustableemployment@gmail.com|60719991| |Foreign Domestic Helpers, Local Domestic Helpers|2017
2423|ZENTRALINK MAID CONSULTANT|文華僱傭中心|Shop 206, 2nd floor, Lik Sang Plaza, 269 Castle Peak Road, Tsuen Wan, New Territories|Tsuen Wan District|lat: 22.3730750|lng: 114.1164470|zentralinkmaid@gmail.com|92011738|30205744|Foreign Domestic Helpers, Local Domestic Helpers|2018
2424|Yaya Power Limited|褓母資源有限公司|17th floor, Shum Tower, 268 Des Voeux Road Central, Sheung Wan, Hong Kong|Central and Western District|lat: 22.2864539|lng: 114.1516688|yayapowerhk@gmail.com|31022929|31028030|Foreign Domestic Helpers, Local Domestic Helpers|2017
2428|F & P Employment Services Limited|華慧僱傭服務有限公司|Unit K15, 4th floor, Kaiser Estate Phase II, 47-53 Man Yue Street, Hung Hom, Kowloon|Kowloon City District|lat: 22.3093862|lng: 114.1886157|fnpemp888@gmail.com|37050438|37050482|Foreign Domestic Helpers|2017
2432|O2O COMPANY||Flat C, 7th floor, Everest Industrial Centre, 396 Kwun Tong Road, Kwun Tong, Kowloon|Kwun Tong District|lat: 22.3132677|lng: 114.2222855|edchen13@yahoo.com.hk|27322208|27395072|Foreign Domestic Helpers, Local Domestic Helpers, Office Staff / Executive Search|2017
2437|Happy Heart Employment Center|樂心僱傭中心|Shop 10B, Ground floor, Seven Seas Commercial Centre, 121 King's Road, North Point, Hong Kong|Eastern District|lat: 22.2876120|lng: 114.1928410|joanneyung@kentertvl.com|25642862|25611560|Foreign Domestic Helpers|2017
2439|Joying Maid Services Centre|翱翔僱傭中心|Unit B201, 2nd floor, Cheong Wah Factory Building, 39-41 Sheung Heung Road, To Kwa Wan, Kowloon|Kowloon City District|lat: 22.3181096|lng: 114.1905199|cathyleeagency@gmail.com|68914229|26191556|Foreign Domestic Helpers, Local Domestic Helpers|2018
2445|Prosperity Employment Centre|順順僱傭中心|Shop 143, Level 1, MCP Discovery, 8 Mau Yip Road, Tseung Kwan O, New Territories|Sai Kung District|lat: 22.3224182|lng: 114.2568564|mediewong@yahoo.com.hk|93494600| |Foreign Domestic Helpers|2017
2446|Prosperity Employment Centre|順順僱傭中心|Room 702, Supreme House, 2A Hart Avenue, Tsim Sha Tsui, Kowloon|Yau Tsim Mong District|lat: 22.2981593|lng: 114.1745201| | | |Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2018
2448|New Horizon Consultancy||Room 217, 2nd floor, Bowring Commercial Center, 150-164 Woosung Street, Jordan, Kowloon|Yau Tsim Mong District|lat: 22.3043827|lng: 114.1684688|hkjb@hotmail.com|27361211| |Foreign Domestic Helpers, Imported Worker, Office Staff / Executive Search|2018
2452|ICON MEDICAL GROUP|君譽醫療集團|1st floor, 211-215 Tung Choi Street, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3256798|lng: 114.1690628|info@iconmed.hk|23812387|23976600|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2017
2456|Chu@Y3K Service Center|東禧僱傭|Ground floor, 44 Tong Tau Po Tsuen, Yuen Long, New Territories|Yuen Long District|lat: 22.4255950|lng: 114.0382410|Judychusv@gmail.com|64496973| |Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2017
2484|GOLDEN OCEAN EMPLOYMENT COMPANY|金洋僱傭公司|Shop 58, Ground floor, Royal Jubilee, 88 San Shing Avenue, Sheung Shui, New Territories|North District|lat: 22.5049350|lng: 114.1288650|goldenocean2004@gmail.com|26790119|26790177|Foreign Domestic Helpers|2018
2489|FUK HONG EMPLOYMENT CENTRE LIMITED|福康僱傭中心有限公司|Shop 111, Ground floor, Fanling Centre, Phase II, 33 San Wan Road, Fanling, New Territories|North District|lat: 22.4909033|lng: 114.1415338|easyhome111@yahoo.com.hk|96266922|26832263|Foreign Domestic Helpers|2018
2491|TOP ONE EMPLOYMENT AGENCY|樂信僱傭|Unit 18, 8th floor, Hollywood Plaza, 610 Nathan Road, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3167518|lng: 114.1704127| | | |Foreign Domestic Helpers|2018
2495|THE ONE HELPER AGENCY|美美僱傭中心|Shop 41, 1st floor, Fu Fai Garden, Ma On Shan, New Territories|Sha Tin District|lat: 22.4248666|lng: 114.2338128|mablepang@hotmail.com.hk|51114393|82662846|Foreign Domestic Helpers, Local Domestic Helpers|2018
2510|Grateful Employment Agency|菲寶菲傭顧問|Shop F104, New City, 51G Yau San Street, Yuen Long, New Territories|Yuen Long District|lat: 22.4445376|lng: 114.0222076|ayuip1314@gmail.com|67609431| |Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2018
2511|Gary's Employment Agency Company Limited|韻如僱傭有限公司|Room 724, 7th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories|Tsuen Wan District|lat: 22.3738014|lng: 114.1163447|roychan@stepforward.com.hk|37059913|81485331|Foreign Domestic Helpers|2018
2512|GOOD HARVEST EMPLOYMENT AGENCY LIMITED|富潤僱傭有限公司|Shop B116, Podium Level 1, Nan Fung Plaza, 8 Pui Shing Road, Tseung Kwan O, New Territories|Sai Kung District|lat: 22.3147711|lng: 114.2641616|goodharvest8888@gmail.com|22712929|22742808|Foreign Domestic Helpers|2018
2514|Graceful Heart Agency Limited|恩臨僱傭有限公司|Room 1611, 16th floor, Hollywood Plaza, 610 Nathan Road, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3167518|lng: 114.1704127|gracefulheart.maids@gmail.com| | |Foreign Domestic Helpers, Local Domestic Helpers|2018
2519|Karen Chan Hong Kong Limited|智怡香港有限公司|Room A, 7th floor, Gaylord Commercial Building, 114-118 Lockhart Road, Wan Chai, Hong Kong|Wan Chai District|lat: 22.2779393|lng: 114.1725229|ckckarma@yahoo.com.hk| | |Foreign Domestic Helpers|2018
2522|LT Domestic Helper Agency Limited|工人姐姐有限公司|Units 501-502, 5th floor, Hanford Commercial Centre, 221B-E Nathan Road, Jordan, Kowloon|Yau Tsim Mong District|lat: 22.3038683|lng: 114.1715628|mc@ltgroup.com.hk|35202145|35202147|Foreign Domestic Helpers|2018
2525|JIM CITY EMPLOYMENT AGENCY|夢想號僱傭專門店|Room 506, Rear Portion, 13th floor, Nathan Apartments, 506-508 Nathan Road, Yau Ma Tei, Kowloon|Yau Tsim Mong District|lat: 22.3121690|lng: 114.1710840|jimmykitchen38@gmail.com|27893478|27877518|Foreign Domestic Helpers|2018
2533|STARRY EMPLOYMENT SERVICES COMPANY|星穎僱傭中心|Shop F125, 1st floor, New City, Full Yau Court, 51G Yau San Street, Yuen Long, New Territories|Yuen Long District|lat: 22.4428114|lng: 114.0312860|starryemployment@gmail.com|37073658|81483155|Foreign Domestic Helpers|2018
2534|Lee Wah Employment Limited|利華僱傭有限公司|Room A, 16th floor, Gaylord Commercial Building, 114-118 Lockhart Road, Wan Chai, Hong Kong|Wan Chai District|lat: 22.2779393|lng: 114.1725229|kevinsze1083@yahoo.com.hk|93035021| |Foreign Domestic Helpers|2018
2542|Helpers Market International Recruitment Limited|誠譽僱傭國際有限公司|Room 1802, 18th floor, NPAC, 10 North Point Road, North Point, Hong Kong|Eastern District|lat: 22.2914263|lng: 114.1967664|admin@helpersmarket.hk|60389698| |Foreign Domestic Helpers|2018
2547|Asian Developing Talent||Flat C, 9th floor, Max Share Centre, 373 King's Road, North Point, Hong Kong|Eastern District|lat: 22.2908944|lng: 114.1979274| |29073777|25100266|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2018
2551|Master Mind Employment Agency Limited|萬佳僱傭中心有限公司|Room 2, 3rd floor, King Centre, 23-29 Dundas Street, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3150688|lng: 114.1676462|mastermind_emp@yahoo.com.hk|95322633| |Foreign Domestic Helpers, Local Domestic Helpers|2018
2555|AUGUST EMPLOYMENT AGENCY|捌月天僱傭中心|Room G, 23rd floor, Block A, Ho Shun Tai Building, 10 Sai Ching Street, Yuen Long, New Territories|Yuen Long District|lat: 22.4414277|lng: 114.0276786|augustmaid@gmail.com|93883268| |Foreign Domestic Helpers|2018
2559|CHANCE CONSULTANCY||Room 1104, 11th floor, Crawford House, 70 Queen's Road Central, Central, Hong Kong|Central and Western District|lat: 22.2826315|lng: 114.1555936|randy@chance-consultancy.com| | |Foreign Domestic Helpers, Imported Worker, Office Staff / Executive Search|2018
2569|A & W EMPLOYMENT SERVICES CENTRE|雅麗僱傭服務中心|Shop 28, 1st floor, Lee Bo Building, 3 Tsing Ho Square, Tuen Mun, New Territories|Tuen Mun District|lat: 22.3883782|lng: 113.9792722| |57037659| |Foreign Domestic Helpers|2018
2571|FULLY HUMAN RESOURCE AGENCY COMPANY|集誠人力資源代理公司|Shop I, Ground floor, Continental Mansion, 294 King's Road, North Point, Hong Kong|Eastern District|lat: 22.2899250|lng: 114.1954130|sunnylei@hotmail.com.hk|25663566|25663720|Foreign Domestic Helpers, Local Domestic Helpers|2018
2588|EVERHOME EMPLOYMENT AGENCY LIMITED|宜居僱傭有限公司|Unit 9A, 9th floor, Harvest Building, 29-37 Wing Kut Street, Central, Hong Kong|Central and Western District|lat: 22.2852597|lng: 114.1542698|everhome.agency@gmail.com|57289594| |Foreign Domestic Helpers|2018
2592|MKH Employment Centre Limited|萬家興僱傭有限公司|Room 707, 7th floor, Workingberg Commercial Building, 41-47 Marble Road, North Point, Hong Kong|Eastern District|lat: 22.2921180|lng: 114.2012248|mkh.employment@gmail.com|61639309| |Foreign Domestic Helpers|2018
2612|GRAND WINNERS EMPLOYMENT CENTRE|皇恩僱傭中心|Room D73, 1st floor, Kingswood Richly Plaza, 1 Tin Wu Road, Tin Shui Wai, New Territories|Yuen Long District|lat: 22.4522537|lng: 114.0004029|mk@aftemploy.com.hk|27648708|27648688|Foreign Domestic Helpers|2018
2619|SING FUNG EMPLOYMENT SERVICES|星鋒僱傭公司|Flat J, 24th floor, Chee On Building, 24 East Point Road, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2809164|lng: 114.1847609|singfung@hotmail.com|95099267| |Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2018
2623|PRITZ EMPLOYMENT AGENCY||Shop 165, 1st floor, North Point Centre, 278-288 King's Road, North Point, Hong Kong|Eastern District|lat: 22.2894640|lng: 114.1948104| |57025784| |Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2018
2628|JobsMart Asia|亞洲僱傭快線|Unit 502, 5th floor, Cambridge House, 26-28 Cameron Road, Tsim Sha Tsui, Kowloon|Yau Tsim Mong District|lat: 22.2989151|lng: 114.1744272|jobsmart@126.com|68018688|26701000|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2018
2629|JobsMart Asia|亞洲僱傭快線|Shop 58, Ground floor, Hong Lai Garden, 117-157 Tuen Mun Heung Sze Wui Road, Tuen Mun, New Territories|Tuen Mun District|lat: 22.3988352|lng: 113.9750672|hkaloha@126.com|66028388| |Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2018
2630|JobsMart Asia|亞洲僱傭快線|Shop 1A of A101B, 1st floor, Hop Yick Plaza, 23 Tai Tong Road, Yuen Long, New Territories|Yuen Long District|lat: 22.4433420|lng: 114.0286977|hkaloha@126.com|66020188| |Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2018
2631|Hundred Years Employment Service|百年公司|Room 1001, 10th floor, 655 Nathan Road, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3185003|lng: 114.1692486|agency@hundredyears.com.hk|23940971|23940997|Foreign Domestic Helpers, Local Domestic Helpers, Office Staff / Executive Search|2018
2639|BRIGHT STAR EMPLOYMENT AGENCY|亮星僱傭|Room 62, Block B, Ground floor, Ho Shun Tai Building, 10 Sai Ching Street, Yuen Long, New Territories|Yuen Long District|lat: 22.4419035|lng: 114.0278961| | | |Foreign Domestic Helpers|2018
2645|EASREACH EMPLOYMENT DEVELOPMENT CENTRE|橋宜僱傭中心|Flat F, 4th floor, Block 2, Cheerful Park, 8 Kat Cheung Crescent, Sheung Shui, New Territories|North District|lat: 22.4957894|lng: 114.1317195|tsangalfred@live.hk|67998082| |Foreign Domestic Helpers|2018
2646|QUEENSMAID EMPLOYMENT AGENCY||Flat B1, 10th floor, Galaxy Factory Building, 25-27 Luk Hop Street, San Po Kong, Kowloon|Wong Tai Sin District|lat: 22.3370071|lng: 114.2003192|queensmaid_hk@yahoo.com|35235568| |Foreign Domestic Helpers, Local Domestic Helpers|2018
2648|TOP QUALITY EMPLOYMENT AGENCY COMPANY|優質良印|Shop 43, Ground floor, Rich Building, 6 Tsing Min Path, Tuen Mun, New Territories|Tuen Mun District|lat: 22.4037702|lng: 113.9785288|topquality168@gmail.com|96616262|23515555|Foreign Domestic Helpers|2018
2655|MACKEY EMPLOYMENT AGENCY||Shop 3, Ground floor, Pearl House, 368-374 Prince Edward Road West, Kowloon City, Kowloon|Kwun Tong District|lat: 22.3276748|lng: 114.1879191|cycteresacheung@yahoo.com.hk|23293900|23295866|Foreign Domestic Helpers|2018
2660|PILIPINO OVERSEAS WORKERS CLUB LIMITED|中外－勞工服務有限公司|Block B, 2nd floor, 249-251 Temple Street, Jordan, Kowloon|Yau Tsim Mong District|lat: 22.3049390|lng: 114.1694692|kkleung2005@gmail.com|28811082| |Foreign Domestic Helpers, Local Domestic Helpers|2018
2663|HOME SOLUTION HELPER LIMITED|安僱傭有限公司|Shop 1, Ground floor, Nam Hung Mansion, 5 Belcher's Street, Kennedy Town, Hong Kong|Central and Western District|lat: 22.2853578|lng: 114.1320214|winpylau@yahoo.com.hk|26610963| |Foreign Domestic Helpers|2018
2664|Onon Agency Limited|安安僱傭中心有限公司|Room 2B, 1st floor, Fu Tao Building, 98 Argyle Street, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3199228|lng: 114.1736376|ononagencyltd@gmail.com|68766551|30070533|Foreign Domestic Helpers|2018
2666|Sincere Faith Employment Centre|逸晴僱傭中心|Stall T-YT26A, Yat Tung Market, Ground floor, Yat Tung Estate, 8 Yat Tung Street, Tung Chung, New Territories|Islands District|lat: 22.2821310|lng: 113.9366480|hkmaymay@hotmail.com|98073363| |Foreign Domestic Helpers|2018
2671|EASY CHOICE EMPLOYMENT SERVICES LIMITED|駿心僱傭服務有限公司|No. 250, Ground floor, Tin Sum Village, Tai Wai, Shatin, New Territories|Sha Tin District|lat: 22.3691584|lng: 114.1767558| | | |Foreign Domestic Helpers, Local Domestic Helpers|2018
2673|J Rich Employment Agency Co. Limited|勤快僱傭有限公司|Room 218B, 2nd floor, Kings Wing Plaza 2, 1 On Kwan Street, Sha Tin, New Territories|Sha Tin District|lat: 22.3881460|lng: 114.2080731|switchingbank@gmail.com|68782309| |Foreign Domestic Helpers, Local Domestic Helpers|2018
2681|SinoFilipino Company Limited|華菲有限公司|Unit 2, 12th floor, Ka Wah Bank Centre, 232 Des Voeux Road Central, Sheung Wan, Hong Kong|Central and Western District|lat: 22.2862119|lng: 114.1526578|JOHNNY@YOURCPAHK.COM|25220816|30100822|Foreign Domestic Helpers|2018
2688|Live-in Seedling Employment Service Co.|匯苗女傭服務公司|Shop B06, Basement, U-Town Shopping Arcade, 3 Tsing Ling Path, Tuen Mun, New Territories|Tuen Mun District|lat: 22.4021827|lng: 113.9782849|liveinseedling@gmail.com|24898738|24898206|Foreign Domestic Helpers|2018
2690|U.A. EMPLOYMENT CENTER|華聯僱傭中心|Room 724, 7th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories|Tsuen Wan District|lat: 22.3738014|lng: 114.1163447|uahklimited@gmail.com|37059197|81485331|Foreign Domestic Helpers|2018
2696|Helperspro Employment Agency Limited|專業配對僱傭中心有限公司|Unit 08, 17th floor, Hollywood Plaza, 610 Nathan Road, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3168206|lng: 114.1702239|info@helperspro.com.hk|36189098| |Foreign Domestic Helpers, Local Domestic Helpers|2018
2703|STAY YOUNG PROFESSIONS|揚帆僱傭服務|2nd floor, Block 65A, Serenity Villa, 269A Tai Po Tau Road, Tai Po, New Territories|Tai Po District|lat: 22.4563199|lng: 114.1581365|CHRISTYLEE529@gmail.com|60339091| |Foreign Domestic Helpers, Local Domestic Helpers|2018
2708|Mita Employment Limited|三田僱傭有限公司|Room 1101, Tung Chun Commercial Centre, 438 Shanghai Street, Mongkok, Kowloon|Yau Tsim Mong District|lat: 22.3153214|lng: 114.1690860|mita.employment@gmail.com|23847988|27826451|Foreign Domestic Helpers, Local Domestic Helpers|2018
2732|OPEN SPACE LIMITED|開域有限公司|Flat 12, 19th floor, Block B, Southmark, 11 Yip Hing Street, Wong Chuk Hang, Hong Kong|Southern District|lat: 22.2490440|lng: 114.1648690|oslpersonnel2017@gmail.com|25440232| |Foreign Domestic Helpers, Office Staff / Executive Search|2018
2737|B & A Co.|碧瑤外傭中介公司|Room 1001, 10th floor, Cambridge House, 26-28 Cameron Road, Tsim Sha Tsui, Kowloon|Yau Tsim Mong District|lat: 22.2989151|lng: 114.1744272|baguio.inv@gmail.com|27230290|35792722|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2018
2741|Cohesion Employment Service Centre Limited|凝眾僱傭中心有限公司|Room 2203, 22nd floor, Ho King Commercial Centre, 2-16 Fa Yuen Street, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3159829|lng: 114.1719424|cohesionemployment@gmail.com|25771233| |Foreign Domestic Helpers|2018
2757|SHINING HOME EMPLOYMENT AGENCY LIMITED|閃亮居僱傭有限公司|Unit G14, Ground floor, Lai Sun Commercial Centre, 680 Cheung Sha Wan Road, Kowloon|Sham Shui Po District|lat: 22.3390600|lng: 114.1520470|info@shininghome.com.hk|23890333|23890188|Foreign Domestic Helpers|2018
2763|Lianna Consultant Company||Shop 206, 2nd floor, Big Day Mall, Pauline Building, 9-15 Heung Sze Wui Street, Tai Po, New Territories|Tai Po District|lat: 22.4469760|lng: 114.1662761|liannaconsultant@gmail.com|64723355| |Foreign Domestic Helpers, Local Domestic Helpers|2018
2777|Jame Employment Agencies Centre|江氏僱傭中心|Room 2-3, 5th floor, Trans Asia Centre, 18 Kin Hong Street, Kwai Chung, New Territories|Kwai Tsing District|lat: 22.3702096|lng: 114.1302796|alankong@fore-signal.com|61006685| |Foreign Domestic Helpers, Local Domestic Helpers|2018
2779|CAPITAL SUN EMPLOYMENT CENTRE|家昇海外僱傭中心|Shop 24, 1st floor, Hop Yick Commercial Centre, 33 Hop Choi Street, Yuen Long, New Territories|Yuen Long District|lat: 22.4425505|lng: 114.0301710|capitalsunken2@gmail.com|24701982|24703648|Foreign Domestic Helpers|2018
2781|WITH HEART EMPLOYMENT AGENCY LIMITED|初見僱傭中心有限公司|Shop 181, 1st floor, Metro City Plaza 3, Tseung Kwan O, New Territories|Sai Kung District|lat: 22.3228322|lng: 114.2584090|withheart27743777@gmail.com|27743777|27774334|Foreign Domestic Helpers, Local Domestic Helpers|2018
2784|J & E EMPLOYMENT AGENCY|澄軒女傭中心|Room 1004, 10th floor, Block A, Vigor Industrial Building, 14-20 Cheung Tat Road, Tsing Yi, New Territories|Kwai Tsing District|lat: 22.3505197|lng: 114.1090983|jesswong930@yahoo.com.hk|24978656| |Foreign Domestic Helpers|2018
2790|CLEVER MAID EMPLOYMENT CENTER|醒目僱傭中心|Flat B, 1st floor, Block B, Wah Shing Building, 82-84 Hau Tei Square, Tsuen Wan, New Territories|Tsuen Wan District|lat: 22.3710000|lng: 114.1151640|clevermaid@yahoo.com|24921169|35847987|Foreign Domestic Helpers|2018
